app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Instrument Identifier,instrument-identifier,Instrument recognition,II001,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II001.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61,,,MusOpen,PD,"Solo instrument comes in later — harder, therefore Securing."
Instrument Identifier,instrument-identifier,Instrument recognition,II002,,Foundation,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II002.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II003,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II003.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,Poor recording so harder — Securing.
Instrument Identifier,instrument-identifier,Instrument recognition,II004,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II004.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II005,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II005.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II006,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II006.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,Low register.
Instrument Identifier,instrument-identifier,Instrument recognition,II007,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,,modules/instrument-identifier/audio/II007.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (5),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II008,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,,modules/instrument-identifier/audio/II008.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (5),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II009,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,,modules/instrument-identifier/audio/II009.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II010,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,,modules/instrument-identifier/audio/II010.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II011,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II011.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,Violin Sonata No. 5 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II012,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II012.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Beethoven,Violin Sonata No. 5 (1),,,MusOpen,PD,Very low register violin sounds like cello — Securing.
Instrument Identifier,instrument-identifier,Instrument recognition,II014,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II014.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Mozart,Violin Sonata No.21 K304 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II015,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,,modules/instrument-identifier/audio/II015.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61 (2),,,MusOpen,PD,
