Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL012,EXL012-Q01,1,Which instrument plays the prominent rhythmic chords?,1,Multiple choice,Electric guitar,CAM-EX-03; CAM-INS-01,instrument identification; electric guitar; disco; rhythm,Instrument Identifier,../instrument-identifier/index.html,Live,recognising electric guitar chords
EXL012,EXL012-Q02,2,Name the effect used by the electric guitar.,1,Short text,Wah-wah,CAM-EX-03,music technology; wah-wah; guitar effects; timbre,Music Technology,#,Planned,recognising wah-wah and guitar effects
EXL012,EXL012-Q03,3,Describe the articulation of the guitar chords.,1,Short text,Staccato / short and detached,CAM-EX-03,articulation; staccato; guitar; disco,Melody Master,../melody-master/index.html,Live,recognising staccato articulation
EXL012,EXL012-Q04,4,Which rhythmic pattern is played by the bass drum?,1,Multiple choice,On every crotchet beat,CAM-EX-03,bass drum; four on the floor; metre; disco,Meter Master,../meter-master/index.html,Live,recognising regular bass-drum patterns
EXL012,EXL012-Q05,5,What name is given to this bass-drum pattern?,1,Short text,Four on the floor,CAM-EX-03,four on the floor; bass drum; disco; dance music,Meter Master,../meter-master/index.html,Live,naming four-on-the-floor patterns
EXL012,EXL012-Q06,6,Describe the bass line.,1,Short text,Repeated / syncopated / uses octave leaps / outlines the harmony.,CAM-EX-03,bass line; ostinato; syncopation; disco,Melody Master,../melody-master/index.html,Live,describing bass-line patterns
EXL012,EXL012-Q07,7,Describe one change which takes place during the extract.,1,Short text,A part is added or removed / texture changes / dynamics change.,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing audible musical changes
EXL012,EXL012-Q08,8,Which term describes the addition of instrumental parts to build up the texture?,1,Multiple choice,Layering,CAM-EX-03,layering; texture; build-up; dance music,Texture Trainer,../texture-trainer/index.html,Live,recognising layered textures
EXL012,EXL012-Q09,9,Describe the texture when most of the instruments are playing.,1,Short text,Layered / thick / melody and accompaniment,CAM-EX-03,texture; homophonic; layering; density,Texture Trainer,../texture-trainer/index.html,Live,describing dense layered textures
EXL012,EXL012-Q10,10,Give one way in which technology has been used in this extract.,1,Short text,Electronic / synthesised sounds / guitar effects / programmed drums.,CAM-EX-03,music technology; electronic production; effects; dance music,Music Technology,#,Planned,identifying uses of music technology
EXL012,EXL012-Q11,11,Give one feature which makes this music suitable for dancing.,1,Short text,Steady beat / four on the floor / repeated bass line.,CAM-EX-03; CAM-EX-12,dance music; pulse; four on the floor; genre features,Context & Style,#,Planned,linking musical features to dance function
