Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL013,EXL013-Q01,1,From which part of the world does this music come?,1,Multiple choice,Bali,CAM-EX-03; CAM-EX-12,world music; Bali; gamelan; context,Context & Style,#,Planned,locating world-music traditions
EXL013,EXL013-Q02,2,Name the instrumental ensemble heard in this extract.,1,Short text,Gamelan,CAM-EX-03; CAM-INS-01,gamelan; ensemble identification; world music; Bali,Instrument Identifier,../instrument-identifier/index.html,Live,recognising gamelan ensembles
EXL013,EXL013-Q03,3,Which family of instruments is most prominent?,1,Multiple choice,Percussion,CAM-EX-03; CAM-INS-01,instrument family; percussion; gamelan; timbre,Instrument Identifier,../instrument-identifier/index.html,Live,identifying percussion families
EXL013,EXL013-Q04,4,Describe the timbre of the instruments.,1,Short text,Metallic / bell-like / resonant,CAM-EX-03,timbre; metallic; gamelan; percussion,Instrument Identifier,../instrument-identifier/index.html,Live,describing metallic percussion timbres
EXL013,EXL013-Q05,5,Describe the texture.,1,Short text,Layered / interlocking / polyphonic,CAM-EX-03,texture; layering; interlocking; gamelan,Texture Trainer,../texture-trainer/index.html,Live,describing layered interlocking textures
EXL013,EXL013-Q06,6,Which word best describes the relationship between some of the instrumental parts?,1,Multiple choice,Interlocking,CAM-EX-03,interlocking; texture; ensemble relationship; gamelan,Texture Trainer,../texture-trainer/index.html,Live,recognising interlocking parts
EXL013,EXL013-Q07,7,Describe one feature of the rhythm.,1,Short text,Repeated / interlocking rhythmic patterns / ostinatos.,CAM-EX-03,rhythm; ostinato; interlocking; gamelan,Meter Master,../meter-master/index.html,Live,describing layered rhythmic patterns
EXL013,EXL013-Q08,8,Name the large instrument which provides low punctuating notes.,1,Short text,Gong,CAM-EX-03; CAM-INS-01,gong; instrument identification; gamelan; punctuation,Instrument Identifier,../instrument-identifier/index.html,Live,recognising the gong
EXL013,EXL013-Q09,9,Describe the role of the low gong.,1,Short text,Marks important beats / structural points / ends of phrases.,CAM-EX-03,gong role; structure; cycle; gamelan,Context & Style,#,Planned,explaining structural roles in gamelan
EXL013,EXL013-Q10,10,Which scale type is most likely to be associated with this music?,1,Multiple choice,Pentatonic,CAM-EX-03; CAM-EX-12,scale; pentatonic; gamelan; pitch,Context & Style,#,Planned,linking world traditions to scale types
EXL013,EXL013-Q11,11,This music was traditionally associated with which context?,1,Multiple choice,Ceremonies,CAM-EX-03; CAM-EX-12,context; ceremony; gamelan; world music,Context & Style,#,Planned,linking music to ceremonial contexts
