Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL016,EXL016-Q01,1,From which part of the world is this music most closely associated?,1,Multiple choice,India,CAM-EX-03; CAM-EX-12,world region; India; context; tradition,Context & Style,#,Planned,locating Indian traditions
EXL016,EXL016-Q02,2,Name the plucked string instrument heard in the melody.,1,Short text,Sitar / plucked string instrument,CAM-EX-03; CAM-INS-01,instrument identification; sitar; India; plucked strings,Instrument Identifier,../instrument-identifier/index.html,Live,recognising sitar-like timbres
EXL016,EXL016-Q03,3,Describe the timbre of the melodic instrument.,1,Short text,Buzzing / resonant / nasal / twangy,CAM-EX-03,timbre; sitar; Indian music; plucked strings,Instrument Identifier,../instrument-identifier/index.html,Live,describing sitar timbres
EXL016,EXL016-Q04,4,Describe one feature of the rhythm.,1,Short text,Cyclical / repetitive / tabla patterns,CAM-EX-03,rhythm; cyclical; Indian music; tabla,Meter Master,../meter-master/index.html,Live,describing cyclical rhythmic patterns
EXL016,EXL016-Q05,5,Describe the role of any sustained low notes.,1,Short text,Drone / pedal / underpins the melody,CAM-EX-03,drone; pedal; Indian music; raga,Harmony Explorer,../harmony-explorer/index.html,Live,recognising drone in Indian music
EXL016,EXL016-Q06,6,Which term describes melodic decoration in this extract?,1,Multiple choice,Ornamentation,CAM-EX-03,ornamentation; melody; Indian music; decoration,Melody Master,../melody-master/index.html,Live,recognising melodic ornamentation
EXL016,EXL016-Q07,7,Describe the texture.,1,Short text,Melody and accompaniment / melody with drone,CAM-EX-03,texture; melody and accompaniment; drone; Indian music,Texture Trainer,../texture-trainer/index.html,Live,describing Indian instrumental textures
EXL016,EXL016-Q08,8,Name one percussion instrument heard.,1,Short text,Tabla / hand drum / percussion,CAM-EX-03; CAM-INS-01,instrument identification; tabla; percussion; Indian music,Instrument Identifier,../instrument-identifier/index.html,Live,recognising tabla and percussion
EXL016,EXL016-Q09,9,Which scale type is most likely to be associated with this music?,1,Multiple choice,Raga / modal scale,CAM-EX-03; CAM-EX-12,scale; raga; Indian music; mode,Context & Style,#,Planned,linking Indian music to raga scales
EXL016,EXL016-Q10,10,Give one feature typical of Indian classical or influenced music.,1,Short text,Drone / ornamentation / cyclical rhythm / raga,CAM-EX-03; CAM-EX-12,Indian music; genre features; tradition; context,Context & Style,#,Planned,recognising Indian genre features
EXL016,EXL016-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Indian-influenced music,CAM-EX-03; CAM-EX-12,style recognition; Indian music; genre; context,Context & Style,#,Planned,matching extracts to world styles
