Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL018,EXL018-Q01,1,Which instrument plays the off-beat chords?,1,Multiple choice,Electric guitar,CAM-EX-03; CAM-INS-01,instrument identification; electric guitar; reggae; skank,Instrument Identifier,../instrument-identifier/index.html,Live,recognising reggae guitar skank
EXL018,EXL018-Q02,2,Name the rhythmic guitar pattern used in reggae.,1,Short text,Skank / off-beat chords,CAM-EX-03,skank; reggae; rhythm guitar; off-beat,Meter Master,../meter-master/index.html,Live,naming the reggae skank
EXL018,EXL018-Q03,3,Describe the bass line.,1,Short text,Repeated / syncopated / outlines the harmony,CAM-EX-03,bass line; reggae; syncopation; repeated pattern,Melody Master,../melody-master/index.html,Live,describing reggae bass lines
EXL018,EXL018-Q04,4,On which beats are the guitar chords mainly heard?,1,Multiple choice,Off-beats,CAM-EX-03,off-beat; reggae; metre; rhythm,Meter Master,../meter-master/index.html,Live,recognising off-beat reggae chords
EXL018,EXL018-Q05,5,Describe the role of the drums.,1,Short text,Steady beat / groove / rhythmic foundation,CAM-EX-03,drums; reggae; pulse; groove,Meter Master,../meter-master/index.html,Live,describing drum roles in reggae
EXL018,EXL018-Q06,6,Describe the texture.,1,Short text,Melody and accompaniment / homophonic,CAM-EX-03,texture; homophonic; reggae; melody and accompaniment,Texture Trainer,../texture-trainer/index.html,Live,describing reggae textures
EXL018,EXL018-Q07,7,Describe one change which takes place during the extract.,1,Short text,A part is added / texture or dynamics change,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing changes in reggae
EXL018,EXL018-Q08,8,Give one feature typical of reggae music.,1,Short text,Off-beat guitar / skank / syncopated bass / steady beat,CAM-EX-03; CAM-EX-12,reggae; genre features; Caribbean; rhythm,Context & Style,#,Planned,recognising reggae genre features
EXL018,EXL018-Q09,9,From which region is reggae most closely associated?,1,Multiple choice,Caribbean,CAM-EX-03; CAM-EX-12,world region; Caribbean; reggae; context,Context & Style,#,Planned,locating Caribbean traditions
EXL018,EXL018-Q10,10,Give one way in which technology has been used in this extract.,1,Short text,Electric / amplified instruments / electronic keyboard,CAM-EX-03,music technology; amplification; reggae; popular music,Context & Style,#,Planned,identifying technology in reggae
EXL018,EXL018-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Reggae,CAM-EX-03; CAM-EX-12,style recognition; reggae; genre; context,Context & Style,#,Planned,matching extracts to popular styles
