Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL014,EXL014-Q01,1,From which region is this music most closely associated?,1,Multiple choice,Latin America,CAM-EX-03; CAM-EX-12,world region; Latin America; salsa; context,Context & Style,#,Planned,locating Latin American traditions
EXL014,EXL014-Q02,2,Which family of instruments is most prominent?,1,Multiple choice,Percussion,CAM-EX-03; CAM-INS-01,instrument family; percussion; Latin dance; ensemble,Instrument Identifier,../instrument-identifier/index.html,Live,identifying percussion-led Latin textures
EXL014,EXL014-Q03,3,Describe one feature of the rhythm.,1,Short text,Syncopated / driving / dance-like,CAM-EX-03,rhythm; syncopation; Latin dance; pulse,Meter Master,../meter-master/index.html,Live,describing Latin dance rhythms
EXL014,EXL014-Q04,4,Name the short repeated bass pattern heard in the extract.,1,Short text,Ostinato,CAM-EX-03,ostinato; bass line; repeated pattern; Latin dance,Melody Master,../melody-master/index.html,Live,recognising bass ostinatos
EXL014,EXL014-Q05,5,Describe the texture when most instruments are playing.,1,Short text,Layered / homophonic / melody and accompaniment,CAM-EX-03,texture; layering; homophonic; Latin dance,Texture Trainer,../texture-trainer/index.html,Live,describing layered dance textures
EXL014,EXL014-Q06,6,Which term best describes the addition of parts to build up the music?,1,Multiple choice,Layering,CAM-EX-03,layering; texture; build-up; dance music,Texture Trainer,../texture-trainer/index.html,Live,recognising layered build-ups
EXL014,EXL014-Q07,7,Give one way in which technology has been used in this extract.,1,Short text,Synthesiser / electronic sounds / programmed drums,CAM-EX-03,music technology; synthesiser; electronic production; Latin dance,Context & Style,#,Planned,identifying uses of music technology
EXL014,EXL014-Q08,8,Describe one change which takes place during the extract.,1,Short text,A part is added or removed / texture or dynamics change,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing audible musical changes
EXL014,EXL014-Q09,9,Give one feature which makes this music suitable for dancing.,1,Short text,Strong beat / syncopation / driving rhythm,CAM-EX-03; CAM-EX-12,dance music; pulse; syncopation; function,Context & Style,#,Planned,linking musical features to dance function
EXL014,EXL014-Q10,10,Give one feature typical of Latin American dance music.,1,Short text,Syncopation / percussion / dance rhythms,CAM-EX-03; CAM-EX-12,Latin American music; genre features; dance; rhythm,Context & Style,#,Planned,recognising Latin American genre features
EXL014,EXL014-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Latin dance music,CAM-EX-03; CAM-EX-12,style recognition; Latin dance; genre; context,Context & Style,#,Planned,matching extracts to popular and world styles
