Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL023,EXL023-Q01,1,From which region is this music most closely associated?,1,Multiple choice,Celtic regions / British Isles,CAM-EX-03; CAM-EX-12,world region; Celtic; folk; context,Context & Style,#,Planned,locating Celtic folk traditions
EXL023,EXL023-Q02,2,Name the bowed string instrument heard in the melody.,1,Short text,Fiddle / violin,CAM-EX-03; CAM-INS-01,instrument identification; fiddle; Celtic folk; strings,Instrument Identifier,../instrument-identifier/index.html,Live,recognising fiddle in Celtic folk
EXL023,EXL023-Q03,3,Describe the timbre of the fiddle.,1,Short text,Bright / lively / folk-like / energetic,CAM-EX-03,timbre; fiddle; Celtic folk; strings,Instrument Identifier,../instrument-identifier/index.html,Live,describing fiddle timbres
EXL023,EXL023-Q04,4,Which scale type is most likely to be associated with this music?,1,Multiple choice,Modal / folk scale,CAM-EX-03; CAM-EX-12,scale; mode; Celtic folk; pitch,Context & Style,#,Planned,linking folk music to modal scales
EXL023,EXL023-Q05,5,Describe one feature of the melody.,1,Short text,Ornamented / lively / folk-like / decorative,CAM-EX-03,melody; ornamentation; Celtic folk; decoration,Melody Master,../melody-master/index.html,Live,describing Celtic folk melodies
EXL023,EXL023-Q06,6,Describe the texture.,1,Short text,Melody and accompaniment / homophonic,CAM-EX-03,texture; folk; melody and accompaniment; Celtic,Texture Trainer,../texture-trainer/index.html,Live,describing Celtic folk textures
EXL023,EXL023-Q07,7,Name one other instrument heard supporting the melody.,1,Short text,Harp / guitar / bodhrán / flute,CAM-EX-03; CAM-INS-01,instrument identification; folk ensemble; Celtic; accompaniment,Instrument Identifier,../instrument-identifier/index.html,Live,recognising Celtic folk accompaniment
EXL023,EXL023-Q08,8,Describe one feature of the rhythm.,1,Short text,Lively / dance-like / steady / jig-like,CAM-EX-03,rhythm; dance; Celtic folk; pulse,Meter Master,../meter-master/index.html,Live,describing Celtic dance rhythms
EXL023,EXL023-Q09,9,Which time signature is most likely?,1,Multiple choice,Compound time,CAM-EX-03,metre; compound time; jig; Celtic folk,Meter Master,../meter-master/index.html,Live,identifying compound metres in folk dance
EXL023,EXL023-Q10,10,Give one feature typical of Celtic folk music.,1,Short text,Ornamented melody / fiddle / dance rhythms / modal scale,CAM-EX-03; CAM-EX-12,Celtic folk; genre features; tradition; context,Context & Style,#,Planned,recognising Celtic genre features
EXL023,EXL023-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Celtic folk music,CAM-EX-03; CAM-EX-12,style recognition; Celtic folk; genre; context,Context & Style,#,Planned,matching extracts to world styles
