Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL020,EXL020-Q01,1,Which instrument provides the main rhythmic foundation?,1,Multiple choice,Drum machine / drums,CAM-EX-03; CAM-INS-01,instrument identification; drums; hip-hop; beat,Instrument Identifier,../instrument-identifier/index.html,Live,recognising hip-hop drum patterns
EXL020,EXL020-Q02,2,Give one way in which technology has been used in this extract.,1,Short text,Drum machine / sampling / programmed beats,CAM-EX-03,music technology; hip-hop; electronic production; sampling,Context & Style,#,Planned,identifying technology in hip-hop
EXL020,EXL020-Q03,3,Describe the bass line.,1,Short text,Repeated / syncopated / loop / ostinato,CAM-EX-03,bass line; hip-hop; ostinato; groove,Melody Master,../melody-master/index.html,Live,describing hip-hop bass lines
EXL020,EXL020-Q04,4,Which term describes the repeated rhythmic pattern?,1,Multiple choice,Beat / groove,CAM-EX-03,beat; groove; hip-hop; rhythm,Meter Master,../meter-master/index.html,Live,recognising hip-hop beats
EXL020,EXL020-Q05,5,Describe the texture.,1,Short text,Layered / homophonic / beat with bass,CAM-EX-03,texture; layering; hip-hop; beat,Texture Trainer,../texture-trainer/index.html,Live,describing hip-hop textures
EXL020,EXL020-Q06,6,Describe one change which takes place during the extract.,1,Short text,A layer is added or removed / texture or dynamics change,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing changes in hip-hop
EXL020,EXL020-Q07,7,On which beats is the snare or clap mainly heard?,1,Multiple choice,2 and 4,CAM-EX-03,backbeat; snare; metre; hip-hop rhythm,Meter Master,../meter-master/index.html,Live,recognising the hip-hop backbeat
EXL020,EXL020-Q08,8,Name the short repeated rhythmic idea in the drums.,1,Short text,Beat / groove / rhythmic loop / ostinato,CAM-EX-03,beat; groove; ostinato; hip-hop,Meter Master,../meter-master/index.html,Live,naming hip-hop rhythmic loops
EXL020,EXL020-Q09,9,Give one feature typical of hip-hop music.,1,Short text,Sampled beats / backbeat / bass loop / electronic production,CAM-EX-03; CAM-EX-12,hip-hop; genre features; popular music; technology,Context & Style,#,Planned,recognising hip-hop genre features
EXL020,EXL020-Q10,10,Describe the role of the hi-hat or cymbals.,1,Short text,Steady pulse / keeps time / rhythmic pattern,CAM-EX-03,hi-hat; rhythm; pulse; hip-hop,Meter Master,../meter-master/index.html,Live,describing hi-hat patterns
EXL020,EXL020-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Hip-hop,CAM-EX-03; CAM-EX-12,style recognition; hip-hop; genre; context,Context & Style,#,Planned,matching extracts to popular styles
