Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL021,EXL021-Q01,1,Which instrument plays the main melody?,1,Multiple choice,Piano,CAM-EX-03; CAM-INS-01,instrument identification; piano; pop; melody,Instrument Identifier,../instrument-identifier/index.html,Live,recognising piano melody in pop
EXL021,EXL021-Q02,2,Describe the texture.,1,Short text,Melody and accompaniment / homophonic,CAM-EX-03,texture; homophonic; pop; melody and accompaniment,Texture Trainer,../texture-trainer/index.html,Live,describing pop textures
EXL021,EXL021-Q03,3,Describe the bass line.,1,Short text,Stepwise / repeated / supports harmony,CAM-EX-03,bass line; pop; harmony; accompaniment,Melody Master,../melody-master/index.html,Live,describing pop bass lines
EXL021,EXL021-Q04,4,Which time signature is most likely?,1,Multiple choice,Simple time,CAM-EX-03,metre; time signature; simple time; pop,Meter Master,../meter-master/index.html,Live,identifying simple metres in pop
EXL021,EXL021-Q05,5,Describe one feature of the melody.,1,Short text,Catchy / stepwise / simple / memorable,CAM-EX-03,melody; pop; memorable; singable,Melody Master,../melody-master/index.html,Live,describing pop melodies
EXL021,EXL021-Q06,6,Describe the dynamics.,1,Short text,Moderate / steady / gentle,CAM-EX-03,dynamics; pop; level; expression,Context & Style,#,Planned,describing pop dynamics
EXL021,EXL021-Q07,7,Which term describes the chordal support beneath the melody?,1,Multiple choice,Accompaniment,CAM-EX-03,accompaniment; texture; pop; harmony,Texture Trainer,../texture-trainer/index.html,Live,recognising accompaniment roles
EXL021,EXL021-Q08,8,Describe one change which takes place during the extract.,1,Short text,Dynamics / texture change / parts added,CAM-EX-03,change recognition; dynamics; texture; structure,Texture Trainer,../texture-trainer/index.html,Live,describing changes in pop
EXL021,EXL021-Q09,9,Give one feature typical of pop music.,1,Short text,Catchy melody / simple harmony / steady beat,CAM-EX-03; CAM-EX-12,pop; genre features; popular music; melody,Context & Style,#,Planned,recognising pop genre features
EXL021,EXL021-Q10,10,Describe the role of the drums.,1,Short text,Steady beat / keep the pulse / simple pattern,CAM-EX-03,drums; pop; pulse; accompaniment,Meter Master,../meter-master/index.html,Live,describing drum roles in pop
EXL021,EXL021-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Pop,CAM-EX-03; CAM-EX-12,style recognition; pop; genre; context,Context & Style,#,Planned,matching extracts to popular styles
