Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL015,EXL015-Q01,1,From which region is this music most closely associated?,1,Multiple choice,Middle East,CAM-EX-03; CAM-EX-12,world region; Middle East; context; tradition,Context & Style,#,Planned,locating Middle Eastern traditions
EXL015,EXL015-Q02,2,Describe the timbre of the string instruments.,1,Short text,Plucked / resonant / bright,CAM-EX-03,timbre; strings; Middle Eastern; plucked,Instrument Identifier,../instrument-identifier/index.html,Live,describing Middle Eastern string timbres
EXL015,EXL015-Q03,3,Describe one feature of the rhythm.,1,Short text,Repetitive / driving / steady pulse,CAM-EX-03,rhythm; repetition; Middle Eastern; pulse,Meter Master,../meter-master/index.html,Live,describing repetitive rhythmic patterns
EXL015,EXL015-Q04,4,Which scale type is most likely to be associated with this music?,1,Multiple choice,Modal / non-Western scale,CAM-EX-03; CAM-EX-12,scale; mode; Middle Eastern; pitch,Context & Style,#,Planned,linking world traditions to scale types
EXL015,EXL015-Q05,5,Describe the texture.,1,Short text,Melody and accompaniment / heterophonic,CAM-EX-03,texture; heterophonic; melody and accompaniment; Middle Eastern,Texture Trainer,../texture-trainer/index.html,Live,describing Middle Eastern textures
EXL015,EXL015-Q06,6,Name one percussion instrument heard in the extract.,1,Short text,Drums / frame drum / hand drum,CAM-EX-03; CAM-INS-01,instrument identification; percussion; Middle Eastern; drums,Instrument Identifier,../instrument-identifier/index.html,Live,recognising Middle Eastern percussion
EXL015,EXL015-Q07,7,Describe the role of any repeated low notes or drones.,1,Short text,Drone / pedal / underpins the melody,CAM-EX-03,drone; pedal; harmony; Middle Eastern,Harmony Explorer,../harmony-explorer/index.html,Live,recognising drone textures
EXL015,EXL015-Q08,8,Which time signature is most likely?,1,Multiple choice,Simple time,CAM-EX-03,metre; time signature; simple time; Middle Eastern,Meter Master,../meter-master/index.html,Live,identifying simple metres
EXL015,EXL015-Q09,9,Give one feature typical of Middle Eastern music.,1,Short text,Modal melody / drone / ornamentation / plucked strings,CAM-EX-03; CAM-EX-12,Middle Eastern music; genre features; tradition; context,Context & Style,#,Planned,recognising Middle Eastern genre features
EXL015,EXL015-Q10,10,Describe one way in which the melody is decorated.,1,Short text,Ornamented / embellished / slides / grace notes,CAM-EX-03,ornamentation; melody; decoration; Middle Eastern,Melody Master,../melody-master/index.html,Live,recognising melodic ornamentation
EXL015,EXL015-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Middle Eastern music,CAM-EX-03; CAM-EX-12,style recognition; Middle Eastern; genre; context,Context & Style,#,Planned,matching extracts to world styles
