Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL019,EXL019-Q01,1,From which country is this music most closely associated?,1,Multiple choice,Japan,CAM-EX-03; CAM-EX-12,world region; Japan; context; tradition,Context & Style,#,Planned,locating Japanese traditions
EXL019,EXL019-Q02,2,Name one traditional Japanese instrument heard.,1,Short text,Shamisen / koto / shakuhachi,CAM-EX-03; CAM-INS-01,instrument identification; Japanese music; traditional instruments,Instrument Identifier,../instrument-identifier/index.html,Live,recognising Japanese instruments
EXL019,EXL019-Q03,3,Which family of instruments is most prominent?,1,Multiple choice,Strings,CAM-EX-03; CAM-INS-01,instrument family; strings; Japanese music; ensemble,Instrument Identifier,../instrument-identifier/index.html,Live,identifying string-led Japanese textures
EXL019,EXL019-Q04,4,Describe the timbre of the main melodic instrument.,1,Short text,Plucked / bright / sharp / nasal,CAM-EX-03,timbre; Japanese music; plucked strings,Instrument Identifier,../instrument-identifier/index.html,Live,describing Japanese string timbres
EXL019,EXL019-Q05,5,Describe the texture.,1,Short text,Monophonic / heterophonic / melody and accompaniment,CAM-EX-03,texture; Japanese music; folk song,Texture Trainer,../texture-trainer/index.html,Live,describing Japanese folk textures
EXL019,EXL019-Q06,6,Which scale type is most likely to be associated with this music?,1,Multiple choice,Pentatonic,CAM-EX-03; CAM-EX-12,scale; pentatonic; Japanese music; pitch,Context & Style,#,Planned,linking Japanese music to pentatonic scales
EXL019,EXL019-Q07,7,Describe one feature of the melody.,1,Short text,Ornamented / decorative / folk-like,CAM-EX-03,melody; ornamentation; Japanese folk; decoration,Melody Master,../melody-master/index.html,Live,describing Japanese folk melodies
EXL019,EXL019-Q08,8,Describe one feature of the rhythm.,1,Short text,Free / flexible / rubato OR steady / simple,CAM-EX-03,rhythm; rubato; Japanese folk; flexible tempo,Meter Master,../meter-master/index.html,Live,describing flexible folk rhythms
EXL019,EXL019-Q09,9,This music was traditionally associated with which context?,1,Multiple choice,Folk traditions,CAM-EX-03; CAM-EX-12,context; folk tradition; Japanese music; function,Context & Style,#,Planned,linking music to cultural contexts
EXL019,EXL019-Q10,10,Give one feature typical of traditional Japanese music.,1,Short text,Pentatonic scale / plucked strings / ornamentation,CAM-EX-03; CAM-EX-12,Japanese music; genre features; tradition; context,Context & Style,#,Planned,recognising Japanese genre features
EXL019,EXL019-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Japanese folk music,CAM-EX-03; CAM-EX-12,style recognition; Japanese folk; genre; context,Context & Style,#,Planned,matching extracts to world styles
