Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL011,EXL011-Q01,1,Which instrument plays the main melodic riff?,1,Multiple choice,Saxophone,CAM-EX-03; CAM-INS-01,instrument identification; saxophone; riff; rock,Instrument Identifier,../instrument-identifier/index.html,Live,recognising saxophone timbre in a rock texture
EXL011,EXL011-Q02,2,Name one type of saxophone heard in this extract.,1,Short text,Tenor saxophone,CAM-EX-03; CAM-INS-01,instrument identification; saxophone; timbre; rock,Instrument Identifier,../instrument-identifier/index.html,Live,naming saxophone types
EXL011,EXL011-Q03,3,Name the instrument which plays the lowest part.,1,Short text,Bass guitar,CAM-EX-03; CAM-INS-01,instrument identification; bass guitar; bass line; rock,Instrument Identifier,../instrument-identifier/index.html,Live,identifying the bass guitar
EXL011,EXL011-Q04,4,Describe the timbre of the electric guitar.,1,Short text,Distorted,CAM-EX-03,timbre; electric guitar; distortion; rock,Instrument Identifier,../instrument-identifier/index.html,Live,describing distorted electric guitar timbre
EXL011,EXL011-Q05,5,On which beats is the snare drum mainly heard?,1,Multiple choice,2 and 4,CAM-EX-03,backbeat; snare drum; metre; rock rhythm,Meter Master,../meter-master/index.html,Live,recognising the rock backbeat
EXL011,EXL011-Q06,6,Name the short repeated melodic idea heard in the saxophones and guitar.,1,Short text,Riff,CAM-EX-03,riff; melodic devices; repeated pattern; rock,Melody Master,../melody-master/index.html,Live,recognising riffs
EXL011,EXL011-Q07,7,Describe the relationship between the saxophones and the other instruments.,1,Short text,"The saxophones play the melody / riff while the other instruments accompany, with alternation or call and response.",CAM-EX-03,texture; instrumental roles; call and response; melody and accompaniment,Texture Trainer,../texture-trainer/index.html,Live,describing instrumental roles and relationships
EXL011,EXL011-Q08,8,Which term describes the short drum patterns heard at the ends of phrases?,1,Multiple choice,Drum fills,CAM-EX-03,drum fills; rhythm; phrase endings; rock,Meter Master,../meter-master/index.html,Live,recognising drum fills
EXL011,EXL011-Q09,9,Describe one way in which the texture becomes fuller.,1,Short text,More instruments enter / parts are layered.,CAM-EX-03,texture; layering; density; rock,Texture Trainer,../texture-trainer/index.html,Live,describing thickening texture
EXL011,EXL011-Q10,10,Give one feature which is typical of rock music.,1,Short text,Electric guitar / distorted guitar / backbeat / repeated riff.,CAM-EX-03; CAM-EX-12,rock style; genre features; instrumentation; backbeat,Context & Style,#,Planned,recognising features of rock music
EXL011,EXL011-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,Rock,CAM-EX-03; CAM-EX-12,style recognition; rock; genre; context,Context & Style,#,Planned,matching extracts to popular styles
