Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL008,EXL008-Q01,1,Which instrument plays the opening melody?,1,Short text,Violin,"CAM-EX-03; CAM-INS-01","instrument identification; violin; orchestral timbre; melody",Instrument Identifier,../instrument-identifier/index.html,Live,recognising violin timbre
EXL008,EXL008-Q02,2,"Which family of instruments, together with the horns, plays the repeated chords at the beginning?",1,Short text,Woodwind,"CAM-EX-03; CAM-INS-01","instrument family; woodwind; horns; orchestral texture",Instrument Identifier,../instrument-identifier/index.html,Live,recognising orchestral instrument families
EXL008,EXL008-Q03,3,Describe the texture at the beginning of the extract.,1,Short text,Homophonic: one main melody with accompaniment.,CAM-EX-03,"texture; homophonic; melody and accompaniment; musical roles",Texture Practice,#,Planned,identifying melody-and-accompaniment textures
EXL008,EXL008-Q04,4,Describe the dynamics at the beginning of the extract.,1,Short text,Piano (softly),"CAM-EX-03; CAM-DYN-01","dynamics; piano; soft; aural identification",Dynamics Practice,#,Planned,identifying dynamic levels
EXL008,EXL008-Q05,5,Which dynamic marking best fits bar 9?,1,Multiple choice,B — sfz,"CAM-EX-03; CAM-DYN-01","dynamics; sfz; sforzando; score following",Dynamics Practice,#,Planned,identifying sudden dynamic accents
EXL008,EXL008-Q06,6,Which term best describes the articulation of the opening melody?,1,Short text,Staccato,CAM-EX-03,"articulation; staccato; detached notes; aural identification",Melody Master,../melody-master/index.html,Live,recognising articulation
EXL008,EXL008-Q07,7,Which tempo marking is most suitable for this extract?,1,Multiple choice,B — Allegretto,CAM-EX-03,"tempo; Allegretto; tempo markings; aural identification",Tempo Practice,#,Planned,matching tempo markings to musical speed
EXL008,EXL008-Q08,8,What is the time signature?,1,Short text,2/4,"CAM-EX-03; CAM-NOT-01","time signature; 2/4; simple duple metre; score completion",Meter Master,../meter-master/index.html,Live,identifying precise time signatures
EXL008,EXL008-Q09,9,The opening melody moves mainly by,1,Multiple choice,A — step,CAM-EX-03,"melodic movement; stepwise movement; melody; score following",Melody Master,../melody-master/index.html,Live,distinguishing stepwise and leaping movement
EXL008,EXL008-Q10,10,Name the repeated musical feature heard throughout much of the extract.,1,Short text,Ostinato (a repeated rhythmic pattern),"CAM-EX-03; CAM-RHY-02","ostinato; repeated rhythm; rhythmic pattern; aural identification",Meter Master,../meter-master/index.html,Live,recognising repeated rhythmic patterns
EXL008,EXL008-Q11,11,From which period of music does this extract come?,1,Short text,Classical,"CAM-EX-03; CAM-AOS1-01","Classical period; style recognition; historical period; orchestral style",Context & Style,#,Planned,identifying Classical-period style
EXL008,EXL008-Q12,12,Which composer is most likely to have written this extract?,1,Multiple choice,A — Ludwig van Beethoven,"CAM-EX-03; CAM-AOS1-01","composer recognition; Beethoven; Classical period; style recognition",Context & Style,#,Planned,recognising composers through style
