Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL022,EXL022-Q01,1,Which family of instruments provides the main beat?,1,Multiple choice,Percussion / electronic drums,CAM-EX-03; CAM-INS-01,instrument family; electronic drums; EDM; beat,Instrument Identifier,../instrument-identifier/index.html,Live,recognising electronic drum beats
EXL022,EXL022-Q02,2,Give one way in which technology has been used in this extract.,1,Short text,Synthesiser / drum machine / programmed drums,CAM-EX-03,music technology; EDM; electronic production; synthesis,Context & Style,#,Planned,identifying technology in EDM
EXL022,EXL022-Q03,3,Which rhythmic pattern is played by the bass drum?,1,Multiple choice,On every crotchet beat,CAM-EX-03,bass drum; four on the floor; metre; house,Meter Master,../meter-master/index.html,Live,recognising four-on-the-floor patterns
EXL022,EXL022-Q04,4,What name is given to this bass-drum pattern in dance music?,1,Short text,Four on the floor,CAM-EX-03,four on the floor; bass drum; house; dance music,Meter Master,../meter-master/index.html,Live,naming four-on-the-floor patterns
EXL022,EXL022-Q05,5,Describe the bass line.,1,Short text,Repeated / syncopated / electronic loop,CAM-EX-03,bass line; ostinato; EDM; electronic,Melody Master,../melody-master/index.html,Live,describing EDM bass lines
EXL022,EXL022-Q06,6,Describe the texture when most elements are playing.,1,Short text,Layered / thick / homophonic,CAM-EX-03,texture; layering; EDM; density,Texture Trainer,../texture-trainer/index.html,Live,describing dense EDM textures
EXL022,EXL022-Q07,7,Which term describes the addition of electronic parts to build up the texture?,1,Multiple choice,Layering,CAM-EX-03,layering; texture; build-up; EDM,Texture Trainer,../texture-trainer/index.html,Live,recognising layered EDM textures
EXL022,EXL022-Q08,8,Describe one change which takes place during the extract.,1,Short text,A part is added or removed / texture or dynamics change,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing changes in EDM
EXL022,EXL022-Q09,9,Give one feature which makes this music suitable for dancing.,1,Short text,Steady beat / four on the floor / driving rhythm,CAM-EX-03; CAM-EX-12,dance music; pulse; EDM; function,Context & Style,#,Planned,linking EDM features to dance function
EXL022,EXL022-Q10,10,Describe the timbre of the synthesiser sounds.,1,Short text,Bright / electronic / synthetic / filtered,CAM-EX-03,timbre; synthesiser; EDM; electronic,Instrument Identifier,../instrument-identifier/index.html,Live,describing synthesiser timbres
EXL022,EXL022-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,House / EDM,CAM-EX-03; CAM-EX-12,style recognition; EDM; house; genre,Context & Style,#,Planned,matching extracts to popular styles
